Species,Ecomorph,BodyLength,ForeLimbLength,digit_1,HindLimbLength,toe_1
aliniger,TrunkCrown,9.052612276,1.367516315,0.222639067,1.662204948,0.49478186
allisoni,TrunkCrown,14.53958759,1.297136412,0.186545276,1.639034759,0.474863187
alumina,GrassBush,7.950901223,1.252873678,0.18946976,2.19709905,0.674956822
alutaceus,GrassBush,7.367275476,1.30781047,0.212425883,2.386771074,0.67935562
anfiloquioi,GrassBush,7.298164106,1.324097287,0.176024442,2.601986612,0.70889633
bahorucoensis,GrassBush,10.09737904,1.347383404,0.222231773,2.17385764,0.688235974
brunneus,TrunkCrown,15.44261992,1.300878989,0.191086452,1.683597338,0.466474855
chlorocyanus,TrunkCrown,16.11561085,1.305350139,0.208080987,1.705536151,0.471846415
chlorodius,TrunkCrown,14.41662807,1.362019605,0.229256701,1.73705221,0.523217469
clivicola,GrassBush,8.814624288,1.440501748,0.232711612,2.35956049,0.675557602
coelestinus,TrunkCrown,15.30218961,1.346324045,0.216818919,1.672441364,0.501281273
cupeyalensis,GrassBush,6.605946361,1.17651576,0.152438416,2.02196616,0.648203871
cyanopleurus,GrassBush,7.278462436,1.330433328,0.198211339,2.342691276,0.642732844
dolichocephalus,GrassBush,8.021528861,1.314439607,0.215043474,2.336587248,0.749836208
eladioi,TrunkCrown,11.84227307,1.40969558,0.221916855,1.657114295,0.495090762
evermanni,TrunkCrown,14.58901234,1.504865877,0.253569737,1.846615053,0.538446858
fairchildi,TrunkCrown,14.41265951,1.394478959,0.200364195,1.713092376,0.490586109
grahami,TrunkCrown,15.46643588,1.364636174,0.20022256,1.76274297,0.47898212
hendersoni,GrassBush,9.958033396,1.2336163,0.209543818,2.139072481,0.669527131
inexpectatus,GrassBush,6.746955622,1.270990106,0.182543072,2.497677607,0.67875993
isolepis,TrunkCrown,9.036170512,1.243447098,0.16732752,1.445081186,0.351808324
juangundlachi,GrassBush,7.141932936,1.185533395,0.180903407,2.049725212,0.611739152
krugi,GrassBush,11.25877844,1.302171212,0.218297782,1.953410753,0.605407294
longiceps,TrunkCrown,14.13460454,1.362596229,0.19632489,1.839231182,0.52252053
maynardi,TrunkCrown,16.30496218,1.2787377,0.188832535,1.653940109,0.475594945
olssoni,GrassBush,9.216503952,1.255094437,0.206805953,2.077281196,0.692247193
opalinus,TrunkCrown,10.16374111,1.500551578,0.23860496,1.863967947,0.56648402
ophiolepis,GrassBush,7.840037082,1.1465507,0.181886895,1.540171287,0.516961841
pecuarius,TrunkCrown,16.24326008,1.353299762,0.21953721,1.714126343,0.503285668
peynadoi,TrunkCrown,15.79980041,1.288392578,0.209683379,1.625032935,0.473333623
poncensis,GrassBush,10.49836486,1.26081877,0.204575893,1.719651786,0.554046529
porcatus,TrunkCrown,14.1617025,1.350511183,0.185238692,1.703546394,0.486171341
pulchellus,GrassBush,10.40004258,1.244190767,0.195707202,1.805500237,0.558887422
pumilus,GrassBush,7.359851523,1.382095559,0.193499228,1.607844774,0.461172738
rejectus,GrassBush,6.828623505,1.166660668,0.169841947,1.975479096,0.606434677
semilineatus,GrassBush,9.261114706,1.173876369,0.200013062,2.069762145,0.660281939
singularis,TrunkCrown,8.362285869,1.395192676,0.226493094,1.697621945,0.502613767
smaragdinus,TrunkCrown,24.33356353,1.379128584,0.201819717,1.752671209,0.494465652
spectrum,GrassBush,7.322812553,1.286130327,0.171581766,2.314464378,0.61526361
stratulus,TrunkCrown,10.4112454,1.525024964,0.262574837,1.93021478,0.548704238
vanidicus,GrassBush,6.640489498,1.316690758,0.20208302,2.353713101,0.631322126
viridius,TrunkCrown,13.22971679,1.316807402,0.208040955,1.714827039,0.509528245